DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
29/06/2024,1007 - 49 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K0B2,NIXON LAU,LIVING REALTY INC.,"$709,000",43.63883,79.411635
04/07/2024,1007 - 761 BAY STREET,TORONTO,ONTARIO,M5G2R2,DARYL KING,RE/MAX HALLMARK REALTY LTD.,"$589,900",43.6596493,79.3849721
25/06/2024,1008 - 1 BLOOR STREET E,TORONTO,ONTARIO,M4W1A9,MARTIN GUO,HOMELIFE LANDMARK REALTY INC.,"$939,900",43.6701587,79.3862462
29/06/2024,1008 - 1 PEMBERTON AVENUE,TORONTO,ONTARIO,M2M4L9,WAYNE XU,BAY STREET GROUP INC.,"$749,000",43.7808535,79.4142091
03/07/2024,1008 - 120 HARRISON GARDEN BOULEVARD,TORONTO,ONTARIO,M2N0H1,RAGU BALASUBRAMANIYAM,RE/MAX COMMUNITY REALTY INC.,"$579,000",43.7580581,79.4033368
04/07/2024,1008 - 120 HOMEWOOD AVENUE,TORONTO,ONTARIO,M4Y2J3,MICHAEL SWITZER,FOREST HILL REAL ESTATE INC.,"$669,000",43.6669945,79.3763662
02/07/2024,1008 - 1410 DUPONT STREET,TORONTO,ONTARIO,M6H0B6,JOHN MARTINO,NEW ERA REAL ESTATE,"$489,000",43.6671028,79.4474491
03/07/2024,1008 - 153 BEECROFT ROAD,TORONTO,ONTARIO,M2N7C5,VINCE ESPOSITO,REAL BROKER ONTARIO LTD.,"$538,788",43.7654639,79.4143842
27/06/2024,1008 - 21 CARLTON STREET,TORONTO,ONTARIO,M5B1L2,RAVI SIRISENA,CENTURY 21 MILLENNIUM INC.,"$488,888",43.6612263,79.3820935
03/07/2024,1008 - 3131 BRIDLETOWNE CIRCLE,TORONTO,ONTARIO,M1W2S9,STEPHEN MOORE,CENTURY 21 LEADING EDGE REALTY INC.,"$599,000",43.7989328,79.3204451
